timestep,num-issues,num-choices,num-labels,strenght-of-influence, multi-issue-discourse,ignorring,prob-droping-label,SW-index,cosine-similarity
1400,1,2,10,5,5,1,0.0,0.0,0.7090909090909091
1600,1,2,10,5,5,1,0.0,0.0,0.7090909090909091
1800,1,2,10,5,5,1,0.0,0.0,0.7090909090909091
2000,1,2,10,5,5,1,0.0,0.0,0.7090909090909091
0,1,10,2,5,5,0,0.0,0.996886845,0.9966966666666668
200,1,10,2,5,5,0,0.0,0.0,0.6666666666666666
400,1,10,2,5,5,0,0.0,0.0,0.6666666666666666
600,1,10,2,5,5,0,0.0,0.0,0.6666666666666666
800,1,10,2,5,5,0,0.0,0.0,0.6666666666666666
1000,1,10,2,5,5,0,0.0,0.0,0.6666666666666666
1200,1,10,2,5,5,0,0.0,0.0,0.6666666666666666
1400,1,10,2,5,5,0,0.0,0.0,0.6666666666666666
1600,1,10,2,5,5,0,0.0,0.0,0.6666666666666666
1800,1,10,2,5,5,0,0.0,0.0,0.6666666666666666
2000,1,10,2,5,5,0,0.0,0.0,0.6666666666666666
0,1,10,2,5,5,1,0.0,0.99709271,0.9938633333333332
200,1,10,2,5,5,1,0.0,0.0,0.6666666666666666
400,1,10,2,5,5,1,0.0,0.0,0.6666666666666666
600,1,10,2,5,5,1,0.0,0.0,0.6666666666666666
800,1,10,2,5,5,1,0.0,0.0,0.6666666666666666
1000,1,10,2,5,5,1,0.0,0.0,0.6666666666666666
1200,1,10,2,5,5,1,0.0,0.0,0.6666666666666666
1400,1,10,2,5,5,1,0.0,0.0,0.6666666666666666
1600,1,10,2,5,5,1,0.0,0.0,0.6666666666666666
1800,1,10,2,5,5,1,0.0,0.0,0.6666666666666666
2000,1,10,2,5,5,1,0.0,0.0,0.6666666666666666
0,1,10,6,5,5,0,0.0,0.9929301016666666,0.9803238095238096
200,1,10,6,5,5,0,0.0,0.0581264316666666,0.9350119047619044
400,1,10,6,5,5,0,0.0,0.0,1.0
600,1,10,6,5,5,0,0.0,0.0,1.0
800,1,10,6,5,5,0,0.0,0.0,1.0
1000,1,10,6,5,5,0,0.0,0.0,1.0
1200,1,10,6,5,5,0,0.0,0.0,1.0
1400,1,10,6,5,5,0,0.0,0.0,1.0
1600,1,10,6,5,5,0,0.0,0.0,1.0
1800,1,10,6,5,5,0,0.0,0.0,1.0
2000,1,10,6,5,5,0,0.0,0.0,1.0
0,1,10,6,5,5,1,0.0,0.9926910183333334,0.976157142857143
200,1,10,6,5,5,1,0.0,0.03237395,0.3884190476190476
400,1,10,6,5,5,1,0.0,0.0,0.3809523809523809
600,1,10,6,5,5,1,0.0,0.0,0.3809523809523809
800,1,10,6,5,5,1,0.0,0.0,0.3809523809523809
1000,1,10,6,5,5,1,0.0,0.0,0.3809523809523809
1200,1,10,6,5,5,1,0.0,0.0,0.3809523809523809
1400,1,10,6,5,5,1,0.0,0.0,0.3809523809523809
1600,1,10,6,5,5,1,0.0,0.0,0.3809523809523809
1800,1,10,6,5,5,1,0.0,0.0,0.3809523809523809
2000,1,10,6,5,5,1,0.0,0.0,0.3809523809523809
0,1,10,10,5,5,0,0.0,0.990953291,0.9734427272727272
200,1,10,10,5,5,0,0.0,0.0,1.0
400,1,10,10,5,5,0,0.0,0.0,1.0
600,1,10,10,5,5,0,0.0,0.0,1.0
800,1,10,10,5,5,0,0.0,0.0,1.0
1000,1,10,10,5,5,0,0.0,0.0,1.0
1200,1,10,10,5,5,0,0.0,0.0,1.0
1400,1,10,10,5,5,0,0.0,0.0,1.0
1600,1,10,10,5,5,0,0.0,0.0,1.0
1800,1,10,10,5,5,0,0.0,0.0,1.0
2000,1,10,10,5,5,0,0.0,0.0,1.0
0,1,10,10,5,5,1,0.0,0.988476794,0.961587090909091
200,1,10,10,5,5,1,0.0,0.058298456,0.2812214545454545
400,1,10,10,5,5,1,0.0,0.0,0.2727272727272727
600,1,10,10,5,5,1,0.0,0.0,0.2727272727272727
800,1,10,10,5,5,1,0.0,0.0,0.2727272727272727
1000,1,10,10,5,5,1,0.0,0.0,0.2727272727272727
1200,1,10,10,5,5,1,0.0,0.0,0.2727272727272727
1400,1,10,10,5,5,1,0.0,0.0,0.2727272727272727
1600,1,10,10,5,5,1,0.0,0.0,0.2727272727272727
1800,1,10,10,5,5,1,0.0,0.0,0.2727272727272727
2000,1,10,10,5,5,1,0.0,0.0,0.2727272727272727
0,5,2,2,5,5,0,0.0,0.99911246,0.9996333333333332
200,5,2,2,5,5,0,0.0,0.0,0.7999999999999999
400,5,2,2,5,5,0,0.0,0.0,0.7999999999999999
600,5,2,2,5,5,0,0.0,0.0,0.7999999999999999
800,5,2,2,5,5,0,0.0,0.0,0.7999999999999999
1000,5,2,2,5,5,0,0.0,0.0,0.7999999999999999
1200,5,2,2,5,5,0,0.0,0.0,0.7999999999999999
1400,5,2,2,5,5,0,0.0,0.0,0.7999999999999999
1600,5,2,2,5,5,0,0.0,0.0,0.7999999999999999
1800,5,2,2,5,5,0,0.0,0.0,0.7999999999999999
2000,5,2,2,5,5,0,0.0,0.0,0.7999999999999999
0,5,2,2,5,5,1,0.0,0.998609918,0.9991233333333334
200,5,2,2,5,5,1,0.0,0.0,0.9333333333333332
400,5,2,2,5,5,1,0.0,0.0,0.9333333333333332
600,5,2,2,5,5,1,0.0,0.0,0.9333333333333332
800,5,2,2,5,5,1,0.0,0.0,0.9333333333333332
1000,5,2,2,5,5,1,0.0,0.0,0.9333333333333332
1200,5,2,2,5,5,1,0.0,0.0,0.9333333333333332
1400,5,2,2,5,5,1,0.0,0.0,0.9333333333333332
1600,5,2,2,5,5,1,0.0,0.0,0.9333333333333332
1800,5,2,2,5,5,1,0.0,0.0,0.9333333333333332
2000,5,2,2,5,5,1,0.0,0.0,0.9333333333333332
0,5,2,6,5,5,0,0.0,0.998295954,0.9982928571428572
200,5,2,6,5,5,0,0.0,0.0993330773333333,0.954319523809524
400,5,2,6,5,5,0,0.0,0.0008076196666666,0.9524038095238097
600,5,2,6,5,5,0,0.0,0.0,0.9523809523809524
800,5,2,6,5,5,0,0.0,0.0,0.9523809523809524
1000,5,2,6,5,5,0,0.0,0.0,0.9523809523809524
1200,5,2,6,5,5,0,0.0,0.0,0.9523809523809524
1400,5,2,6,5,5,0,0.0,0.0,0.9523809523809524
1600,5,2,6,5,5,0,0.0,0.0,0.9523809523809524
1800,5,2,6,5,5,0,0.0,0.0,0.9523809523809524
2000,5,2,6,5,5,0,0.0,0.0,0.9523809523809524
0,5,2,6,5,5,1,0.0,0.997724571,0.9979561904761904
200,5,2,6,5,5,1,0.0,0.2325802256666666,0.7050904761904762
400,5,2,6,5,5,1,0.0,0.040290362,0.6782452380952381
600,5,2,6,5,5,1,0.0,0.0,0.6761904761904762
800,5,2,6,5,5,1,0.0,0.0,0.6761904761904762
1000,5,2,6,5,5,1,0.0,0.0,0.6761904761904762
1200,5,2,6,5,5,1,0.0,0.0,0.6761904761904762
1400,5,2,6,5,5,1,0.0,0.0,0.6761904761904762
1600,5,2,6,5,5,1,0.0,0.0,0.6761904761904762
1800,5,2,6,5,5,1,0.0,0.0,0.6761904761904762
2000,5,2,6,5,5,1,0.0,0.0,0.6761904761904762
0,5,2,10,5,5,0,0.0,0.9973758828,0.9971198181818184
200,5,2,10,5,5,0,0.0,0.431936433,0.8470256363636365
400,5,2,10,5,5,0,0.0,0.0722923665999999,0.7784376363636363
600,5,2,10,5,5,0,0.0,0.0056513004,0.7679765454545454
800,5,2,10,5,5,0,0.0,0.0007399386,0.767402
1000,5,2,10,5,5,0,0.0,0.0,0.7672727272727272
1200,5,2,10,5,5,0,0.0,0.0,0.7672727272727272
1400,5,2,10,5,5,0,0.0,0.0,0.7672727272727272
1600,5,2,10,5,5,0,0.0,0.0,0.7672727272727272
1800,5,2,10,5,5,0,0.0,0.0,0.7672727272727272
2000,5,2,10,5,5,0,0.0,0.0,0.7672727272727272
0,5,2,10,5,5,1,0.0,0.9968092911999998,0.996052181818182
200,5,2,10,5,5,1,0.0,0.5345953160000001,0.734549090909091
400,5,2,10,5,5,1,0.0,0.1484719244,0.6297625454545455
600,5,2,10,5,5,1,0.0,0.0484836546,0.6001532727272728
800,5,2,10,5,5,1,0.0,0.0086972458,0.5902890909090908
